Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,parametrs,acc,acct,f1,f1t,precision,precisiont,recall,recallt
2022-02-08 16:26:06,6.9min,bcdaec20665a4992aa6c6c5a1b9028cb,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 32, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 150, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_category(2)': 6, 'product_category(3)': 7, 'product_country': 8, 'day_time_category': 9, 'nb_clicks_1week': 10}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 50), ('audience_id', 3182, 50), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_category(2)', 145, 50), ('product_category(3)', 699, 50), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': True, 'pred_dim': 2}",0.6706,0.71796,0.33303636510893336,0.4358748699895992,0.611904761904762,0.7933210367925444,0.2287748970735507,0.3004853654949257
2022-02-08 18:27:35,4.3min,840090860e56431f8dd954dc6117a33e,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 22, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_category(3)': 6, 'product_country': 7, 'day_time_category': 8, 'nb_clicks_1week': 9}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_category(3)', 699, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': True, 'pred_dim': 2}",0.6736,0.7252,0.33125717095558105,0.4419775816321005,0.6014880952380952,0.792350257256577,0.22856819724044333,0.3064619081590508
2022-02-08 15:49:23,7.5min,7d83768437d8413a8224e34579d19817,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 40, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 512, 'mlp_hidden_dims': [400, 300, 200, 200, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_category(2)': 6, 'product_country': 7, 'day_time_category': 8, 'nb_clicks_1week': 9}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_category(2)', 145, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': True, 'pred_dim': 2}",0.65708,0.70584,0.3308094606197799,0.42651416688328564,0.6306547619047619,0.79642753130764,0.22420907840440166,0.2912421456210728
2022-02-08 18:15:50,5.8min,a1e224159b43472d886938c470ec1e68,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 22, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_category(2)': 6, 'product_category(3)': 7, 'product_category(5)': 8, 'product_country': 9, 'day_time_category': 10, 'nb_clicks_1week': 11}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_category(2)', 145, 100), ('product_category(3)', 699, 100), ('product_category(5)', 442, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': True, 'pred_dim': 2}",0.68148,0.7398133333333333,0.3272788713356425,0.4564042565045407,0.5764880952380952,0.7952625958644792,0.22850064881443907,0.3200375043950463
2022-02-08 18:22:05,5.0min,33b719e5e9be46b2aacbe82bf728deba,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 22, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_category(2)': 6, 'product_category(3)': 7, 'product_country': 8, 'day_time_category': 9, 'nb_clicks_1week': 10}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_category(2)', 145, 100), ('product_category(3)', 699, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': True, 'pred_dim': 2}",0.66816,0.72424,0.3254187672792324,0.4445697711891718,0.5955357142857143,0.8035142219202019,0.22387558737972701,0.3072953406348617
2022-02-08 17:47:12,5.8min,0e0f5cbccedd4f76b8ae957b7a902a73,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 22, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_category(2)': 6, 'product_category(3)': 7, 'product_category(6)': 8, 'product_category(4)': 9, 'product_category(5)': 10, 'product_country': 11, 'day_time_category': 12, 'nb_clicks_1week': 13}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_category(2)', 145, 100), ('product_category(3)', 699, 100), ('product_category(6)', 89, 89), ('product_category(4)', 910, 100), ('product_category(5)', 442, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': True, 'pred_dim': 2}",0.67124,0.7362533333333333,0.3238173591114768,0.4602286681038012,0.5857142857142857,0.8186583826812931,0.2237635019897669,0.3200865406513323
2022-02-08 17:31:37,6.0min,f83ecba4abc74e2687e24f3fedb98a2f,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 22, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_brand': 6, 'product_category(2)': 7, 'product_category(3)': 8, 'product_category(6)': 9, 'product_category(4)': 10, 'product_category(5)': 11, 'product_country': 12, 'day_time_category': 13, 'nb_clicks_1week': 14}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_brand', 4770, 100), ('product_category(2)', 145, 100), ('product_category(3)', 699, 100), ('product_category(6)', 89, 89), ('product_category(4)', 910, 100), ('product_category(5)', 442, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': True, 'pred_dim': 2}",0.69164,0.763,0.3231187988409869,0.4905271002321649,0.5476190476190477,0.8306960489272887,0.22916926142732594,0.34801529201236375
2022-02-08 15:42:51,5.9min,8ab0fa740cf9451d825b6226bb257e99,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 40, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 512, 'mlp_hidden_dims': [400, 300, 200, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_category(2)': 6, 'product_country': 7, 'day_time_category': 8, 'nb_clicks_1week': 9}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_category(2)', 145, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.3, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': False, 'pred_dim': 2}",0.72112,0.7370933333333334,0.3151277013752456,0.3617117700375502,0.4773809523809524,0.5423745267449762,0.23519061583577713,0.2713321353989607
2022-02-08 17:39:58,3.8min,de1e31a133b34ece84afc283f3e5ff73,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 22, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_category(2)': 6, 'product_category(3)': 7, 'product_category(6)': 8, 'product_category(4)': 9, 'product_category(5)': 10, 'product_country': 11, 'day_time_category': 12, 'nb_clicks_1week': 13}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_category(2)', 145, 100), ('product_category(3)', 699, 100), ('product_category(6)', 89, 89), ('product_category(4)', 910, 100), ('product_category(5)', 442, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': False, 'pred_dim': 2}",0.48908,0.51792,0.3020599967214906,0.3475765996607601,0.8226190476190476,0.9349577710901854,0.18499431095642863,0.21346720748276704
2022-02-08 17:02:17,7.1min,30db9ad7242942ea950190df06251086,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 22, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_title': 6, 'product_brand': 7, 'product_country': 8, 'day_time_category': 9, 'nb_clicks_1week': 10}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_title', 27695, 100), ('product_brand', 4770, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': True, 'pred_dim': 2}",0.72924,0.82168,0.2970194205005712,0.5650731707317074,0.4255952380952381,0.8434132608484614,0.22810655606954858,0.424861851435278
2022-02-08 17:09:39,7.0min,10637f6f7fe949759bc01496f0198514,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 22, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_title': 6, 'product_country': 7, 'day_time_category': 8, 'nb_clicks_1week': 9}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_title', 27695, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.2, 0.2, 0.2, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': True, 'pred_dim': 2}",0.71672,0.8124933333333333,0.2906650641025641,0.5575864347060119,0.4318452380952381,0.8603048247742937,0.21905193236714976,0.41245462161407426
2022-02-08 15:32:22,9.5min,f9ebf8bc41a54bdb856e12580430fb87,,LOCAL,trainDEP.py,amirhoosein,FINISHED,"{'NUMBER_OF_EPOCHS': 50, 'loss_function': 'nn.CrossEntropyLoss', 'optimizer': 'Adam', 'lr': 0.01, 'step_size': 10, 'gamma': 0.1, 'BATCH_SIZE': 256, 'mlp_hidden_dims': [400, 300, 200, 100, 100], 'column_idx': {'product_age_group': 0, 'device_type': 1, 'partner_id': 2, 'audience_id': 3, 'product_gender': 4, 'product_category(1)': 5, 'product_category(2)': 6, 'product_country': 7, 'day_time_category': 8, 'nb_clicks_1week': 9}, 'embeddings_input': [('product_age_group', 9, 9), ('device_type', 4, 4), ('partner_id', 184, 100), ('audience_id', 3182, 100), ('product_gender', 11, 11), ('product_category(1)', 22, 22), ('product_category(2)', 145, 100), ('product_country', 17, 17), ('day_time_category', 5, 5)], 'mlp_dropout': [0.2, 0.5, 0.2, 0.5, 0.2], 'continuous_cols': ['nb_clicks_1week'], 'mlp_batchnorm': False, 'pred_dim': 2}",0.13448,0.13737333333333332,0.23697016714860009,0.241526864324318,1,1,0.13441075286022883,0.1373503293421158
